"last_name, first_name",player_id,year,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z_induced
"Abbott, Andrew",671096,2025,81,2797,-10,-3.1
"Alcantara, Sandy",645261,2025,85.4,2447,2.7,-1.5
"Allen, Logan",671106,2025,0,0,0,0
"Anderson, Tyler",542881,2025,69.4,2046,-2.6,-10.1
"Bassitt, Chris",605135,2025,71.3,2277,16.8,-11.5
"Baz, Shane",669358,2025,85,2699,7.5,-12.5
"Bello, Brayan",678394,2025,0,0,0,0
"Berríos, José",621244,2025,82.5,2362,14.9,-4.5
"Bibee, Tanner",676440,2025,79.6,2659,10.4,-8.5
"Boyd, Matthew",571510,2025,73.6,2328,-11,-8.5
"Bradley, Taj",671737,2025,81.7,2561,4,-14.6
"Brown, Hunter",686613,2025,83.5,2571,5.1,-15.9
"Buehler, Walker",621111,2025,77.5,2445,11.3,-14.8
"Burke, Sean",680732,2025,79.5,2547,6,-14.9
"Cabrera, Edward",665795,2025,83.9,2626,10.9,-11
"Cameron, Noah",702070,2025,81,2392,-3.4,-10.6
"Castillo, Luis",622491,2025,0,0,0,0
"Cease, Dylan",656302,2025,82.3,2750,3.1,-15.5
"Cecconi, Slade",677944,2025,75.5,2399,9.3,-12.8
"Corbin, Patrick",571578,2025,68.7,1913,-2.7,-2.5
"Crochet, Garrett",676979,2025,0,0,0,0
"deGrom, Jacob",594798,2025,80.9,2779,10.5,-5.3
"Elder, Bryce",693821,2025,0,0,0,0
"Eovaldi, Nathan",543135,2025,75.8,1913,8.7,-8.4
"Falter, Bailey",663559,2025,78,1872,-3.7,-2.1
"Fedde, Erick",607200,2025,0,0,0,0
"Flaherty, Jack",656427,2025,77.8,2387,12.1,-8.7
"Freeland, Kyle",607536,2025,82.6,2401,-2.2,-6.6
"Fried, Max",608331,2025,75.2,2922,-10.6,-16.9
"Gallen, Zac",668678,2025,81.1,2443,4.8,-11.4
"Gausman, Kevin",592332,2025,0,0,0,0
"Gilbert, Logan",669302,2025,82,2155,12.8,-2.8
"Giolito, Lucas",608337,2025,78.6,2471,5.9,-15.4
"Gore, MacKenzie",669022,2025,81.5,2344,-4.7,-13.1
"Gray, Sonny",543243,2025,80.2,2585,12.7,-13.7
"Heaney, Andrew",571760,2025,75.3,2558,-9.8,-5.2
"Hendricks, Kyle",543294,2025,72.2,2824,15.7,-10.3
"Holmes, Clay",605280,2025,0,0,0,0
"Holmes, Grant",656550,2025,83.4,2903,4.5,-10.1
"Houser, Adrian",605288,2025,81.7,1965,7.2,-12.1
"Imanaga, Shota",684007,2025,71.6,2495,-10.6,-12.7
"Irvin, Jake",663623,2025,77.8,2484,14.7,-4.2
"Keller, Mitch",656605,2025,77.4,2613,12,-14.1
"Kelly, Merrill",518876,2025,81.7,2614,8.4,-10
"Kikuchi, Yusei",579328,2025,80,2526,-6.9,-5.8
"Kirby, George",669923,2025,84.4,2371,9.5,-12.6
"Kochanowicz, Jack",686799,2025,0,0,0,0
"Kremer, Dean",665152,2025,78.3,2770,6.1,-11.5
"Leiter, Jack",683004,2025,81.8,2628,6.4,-9.9
"Liberatore, Matthew",669461,2025,77.4,2963,-9.7,-18
"Littell, Zack",641793,2025,0,0,0,0
"Lodolo, Nick",666157,2025,81.9,2570,-8.4,0.1
"Lord, Brad",695418,2025,82.3,2664,7.2,-3.8
"Lorenzen, Michael",547179,2025,82.2,2530,2.3,-12.2
"Lugo, Seth",607625,2025,77.3,3111,14.8,-11.7
"Luzardo, Jesús",666200,2025,0,0,0,0
"Márquez, Germán",608566,2025,85.5,2659,1.8,-1
"Martin, Davis",663436,2025,78.7,2789,13.6,-9
"Martinez, Nick",607259,2025,79.7,2587,2.1,-16.6
"May, Dustin",669160,2025,0,0,0,0
"Mikolas, Miles",571945,2025,76,2578,8.8,-15
"Mize, Casey",663554,2025,83.6,2262,7.1,-0.5
"Morton, Charlie",450203,2025,81.4,3163,15.4,-9
"Nelson, Ryne",669194,2025,80,2566,7.8,-8.3
"Ober, Bailey",641927,2025,75.3,2087,7.5,-7.8
"Paddack, Chris",663978,2025,78.2,2114,5.4,-12.9
"Pallante, Andre",669467,2025,78.2,2802,3.8,-16.1
"Parker, Mitchell",680730,2025,81.2,2280,-0.7,-7
"Patrick, Chad",694477,2025,85.9,2504,5.3,-4.3
"Pepiot, Ryan",686752,2025,80.7,2947,16.2,-11.1
"Peralta, Freddy",642547,2025,78.9,2339,5.5,-5.9
"Peterson, David",656849,2025,78.7,2360,-6.5,-8.1
"Pfaadt, Brandon",694297,2025,82.1,2686,10.6,-8
"Pivetta, Nick",601713,2025,79,2800,7,-16.7
"Priester, Quinn",682990,2025,80.9,2665,4.7,-8.8
"Quantrill, Cal",615698,2025,79.9,2524,4,-6.9
"Quintana, Jose",500779,2025,78.2,2178,-6,-6.1
"Rasmussen, Drew",656876,2025,80.5,2765,5.1,-11.6
"Ray, Robbie",592662,2025,81.2,2185,-1.6,-5.3
"Rea, Colin",607067,2025,80.3,2210,10.2,-7.6
"Rodón, Carlos",607074,2025,80.3,2719,-7.3,-13.1
"Rodriguez, Eduardo",593958,2025,78.9,2356,-5.5,-6.8
"Ryan, Joe",657746,2025,79.1,2815,12.5,-9.8
"Sánchez, Cristopher",650911,2025,0,0,0,0
"Sears, JP",676664,2025,79.5,2356,-4.6,-1.6
"Senga, Kodai",673540,2025,68.5,2439,4.7,-11.6
"Senzatela, Antonio",622608,2025,80.3,2463,5.5,-5.6
"Severino, Luis",622663,2025,0,0,0,0
"Singer, Brady",663903,2025,0,0,0,0
"Skenes, Paul",694973,2025,83.9,2439,6.2,-2.7
"Skubal, Tarik",669373,2025,81.1,2498,-4.8,-5.3
"Smith, Shane",681343,2025,82,2236,6.1,-11.8
"Soriano, José",667755,2025,85.2,2489,12.5,-9.9
"Springs, Jeffrey",605488,2025,0,0,0,0
"Strider, Spencer",675911,2025,78.7,2653,10.1,-6.5
"Suárez, Ranger",624133,2025,73.9,2106,-11.5,-8.6
"Sugano, Tomoyuki",608372,2025,78.2,2674,9.1,-12.2
"Valdez, Framber",664285,2025,79.4,2943,-13.2,-14.8
"Vásquez, Randy",681190,2025,81.2,3055,12.3,-6.5
"Verlander, Justin",434378,2025,78.5,2746,7.6,-12.2
"Wacha, Michael",608379,2025,75.1,2253,11.4,-11.8
"Walker, Taijuan",592836,2025,74.9,2421,6.7,-10.4
"Warren, Will",701542,2025,80.1,2866,12.7,-11.1
"Webb, Logan",657277,2025,0,0,0,0
"Wheeler, Zack",554430,2025,81.1,2810,12.5,-10.4
"Williams, Gavin",668909,2025,82,2453,9.9,-13.3
"Woo, Bryan",693433,2025,0,0,0,0
"Yamamoto, Yoshinobu",808967,2025,76.8,2758,11.9,-16.1