"last_name, first_name",player_id,ch_stuff,year
"Bradley, Taj",671737,0,2025
"Patrick, Chad",694477,87,2025
"Houser, Adrian",605288,92,2025
"Leiter, Jack",683004,109,2025
"Quantrill, Cal",615698,77,2025
"Skubal, Tarik",669373,124,2025
"Ober, Bailey",641927,103,2025
"Crochet, Garrett",676979,102,2025
"Rodón, Carlos",607074,105,2025
"Liberatore, Matthew",669461,86,2025
"Rasmussen, Drew",656876,127,2025
"Quintana, Jose",500779,82,2025
"Flaherty, Jack",656427,76,2025
"Brown, Hunter",686613,90,2025
"Gallen, Zac",668678,83,2025
"Pivetta, Nick",601713,0,2025
"Giolito, Lucas",608337,110,2025
"Peterson, David",656849,86,2025
"Morton, Charlie",450203,92,2025
"Gray, Sonny",543243,81,2025
"Warren, Will",701542,86,2025
"Hendricks, Kyle",543294,84,2025
"Buehler, Walker",621111,78,2025
"Priester, Quinn",682990,93,2025
"Mikolas, Miles",571945,79,2025
"Sears, JP",676664,75,2025
"Allen, Logan",671106,82,2025
"deGrom, Jacob",594798,112,2025
"Webb, Logan",657277,111,2025
"Littell, Zack",641793,0,2025
"Peralta, Freddy",642547,79,2025
"Keller, Mitch",656605,91,2025
"Walker, Taijuan",592836,0,2025
"Senga, Kodai",673540,0,2025
"Baz, Shane",669358,83,2025
"Eovaldi, Nathan",543135,0,2025
"Suárez, Ranger",624133,95,2025
"May, Dustin",669160,84,2025
"Boyd, Matthew",571510,94,2025
"Kochanowicz, Jack",686799,88,2025
"Sugano, Tomoyuki",608372,0,2025
"Martinez, Nick",607259,112,2025
"Bassitt, Chris",605135,73,2025
"Pepiot, Ryan",686752,117,2025
"Freeland, Kyle",607536,74,2025
"Corbin, Patrick",571578,93,2025
"Cecconi, Slade",677944,95,2025
"Sánchez, Cristopher",650911,116,2025
"Gausman, Kevin",592332,0,2025
"Kirby, George",669923,87,2025
"Wheeler, Zack",554430,0,2025
"Cameron, Noah",702070,100,2025
"Bibee, Tanner",676440,113,2025
"Kremer, Dean",665152,0,2025
"Williams, Gavin",668909,87,2025
"Burke, Sean",680732,87,2025
"Holmes, Clay",605280,105,2025
"Alcantara, Sandy",645261,106,2025
"Anderson, Tyler",542881,104,2025
"Lord, Brad",695418,84,2025
"Heaney, Andrew",571760,86,2025
"Gore, MacKenzie",669022,92,2025
"Martin, Davis",663436,98,2025
"Castillo, Luis",622491,93,2025
"Yamamoto, Yoshinobu",808967,0,2025
"Abbott, Andrew",671096,91,2025
"Parker, Mitchell",680730,0,2025
"Fried, Max",608331,105,2025
"Lodolo, Nick",666157,89,2025
"Ray, Robbie",592662,81,2025
"Rodriguez, Eduardo",593958,87,2025
"Nelson, Ryne",669194,84,2025
"Woo, Bryan",693433,81,2025
"Holmes, Grant",656550,98,2025
"Pfaadt, Brandon",694297,76,2025
"Wacha, Michael",608379,132,2025
"Valdez, Framber",664285,101,2025
"Márquez, Germán",608566,70,2025
"Lorenzen, Michael",547179,95,2025
"Soriano, José",667755,144,2025
"Singer, Brady",663903,0,2025
"Smith, Shane",681343,101,2025
"Springs, Jeffrey",605488,100,2025
"Severino, Luis",622663,93,2025
"Lugo, Seth",607625,78,2025
"Mize, Casey",663554,0,2025
"Strider, Spencer",675911,99,2025
"Vásquez, Randy",681190,88,2025
"Kelly, Merrill",518876,84,2025
"Luzardo, Jesús",666200,95,2025
"Senzatela, Antonio",622608,78,2025
"Cabrera, Edward",665795,101,2025
"Berríos, José",621244,81,2025
"Elder, Bryce",693821,90,2025
"Ryan, Joe",657746,0,2025
"Fedde, Erick",607200,81,2025
"Gilbert, Logan",669302,0,2025
"Kikuchi, Yusei",579328,100,2025
"Bello, Brayan",678394,80,2025
"Verlander, Justin",434378,110,2025
"Irvin, Jake",663623,77,2025
"Skenes, Paul",694973,102,2025
"Rea, Colin",607067,0,2025
"Falter, Bailey",663559,0,2025
"Pallante, Andre",669467,0,2025
"Paddack, Chris",663978,98,2025
"Imanaga, Shota",684007,0,2025
"Cease, Dylan",656302,109,2025