"last_name, first_name",player_id,year,p_formatted_ip,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z_induced
"Abbott, Andrew",671096,2025,161,92.8,2273,9.1,16.2
"Alcantara, Sandy",645261,2025,167.2,97.6,2292,-14.4,12.6
"Allen, Logan",671106,2025,152.1,91.2,2229,6.3,16.3
"Anderson, Tyler",542881,2025,136.1,89.3,2185,6.9,19.5
"Bassitt, Chris",605135,2025,170.1,91.5,2150,-5.2,11.2
"Baz, Shane",669358,2025,162.1,97,2456,-9.9,16.7
"Bello, Brayan",678394,2025,161.2,95.1,2161,-7.7,13.6
"Berríos, José",621244,2025,164,93,2127,-9.9,15.2
"Bibee, Tanner",676440,2025,176.1,94.4,2243,-5.5,14.7
"Boyd, Matthew",571510,2025,174.1,93.3,2319,13.2,13
"Bradley, Taj",671737,2025,136.2,96.2,2300,-6.9,18.1
"Brown, Hunter",686613,2025,180.1,96.6,2273,-6.8,17.3
"Buehler, Walker",621111,2025,121,94,2254,-5.7,16.9
"Burke, Sean",680732,2025,130,94.4,2555,-4.9,18.4
"Cabrera, Edward",665795,2025,132.2,97,2332,-10.8,14.6
"Cameron, Noah",702070,2025,133.2,92.3,2288,4.4,16.8
"Castillo, Luis",622491,2025,173.1,95,2211,-13,12.4
"Cease, Dylan",656302,2025,163,97.1,2550,-3.6,18.5
"Cecconi, Slade",677944,2025,128,94.4,2395,-10.8,15.8
"Corbin, Patrick",571578,2025,151.1,91.5,2143,8.7,15.1
"Crochet, Garrett",676979,2025,197.1,96.4,2460,8,15.9
"deGrom, Jacob",594798,2025,167.2,97.5,2519,-8.9,16.5
"Elder, Bryce",693821,2025,149.1,92.8,2226,-3.6,15.3
"Eovaldi, Nathan",543135,2025,130,94.1,2228,-13.3,13
"Falter, Bailey",663559,2025,125.1,92.2,2118,3.5,18.6
"Fedde, Erick",607200,2025,138.1,0,0,0,0
"Flaherty, Jack",656427,2025,156.2,92.9,2263,-5.8,15.8
"Freeland, Kyle",607536,2025,156.2,91.6,2409,7.9,15
"Fried, Max",608331,2025,188.1,95.8,2211,3.1,15
"Gallen, Zac",668678,2025,187.2,93.5,2320,-4.3,17.1
"Gausman, Kevin",592332,2025,189.1,94.5,2263,-11.1,16.8
"Gilbert, Logan",669302,2025,126,95.4,2116,-8.6,16.5
"Giolito, Lucas",608337,2025,145,93.3,2231,-6.8,18.1
"Gore, MacKenzie",669022,2025,159.2,95.3,2260,6.6,17
"Gray, Sonny",543243,2025,174.2,91.7,2500,1.4,10.5
"Heaney, Andrew",571760,2025,120.1,90.1,2375,16,12.7
"Hendricks, Kyle",543294,2025,159.2,86.5,2047,-5.9,14.2
"Holmes, Clay",605280,2025,158.2,93.2,2304,-6.5,13.8
"Holmes, Grant",656550,2025,115,94.5,2319,-5.2,15.2
"Houser, Adrian",605288,2025,119,95.2,2300,-10.7,15
"Imanaga, Shota",684007,2025,139,90.8,2483,11.9,18
"Irvin, Jake",663623,2025,174,92.3,2331,-9.4,14.7
"Keller, Mitch",656605,2025,172.2,94,2405,-8.6,15.1
"Kelly, Merrill",518876,2025,184,91.8,2368,-9.5,14.8
"Kikuchi, Yusei",579328,2025,173.1,94.8,2185,9.4,15.4
"Kirby, George",669923,2025,121,96.2,2280,-10.2,13.4
"Kochanowicz, Jack",686799,2025,111,95.5,2251,-7.2,14.1
"Kremer, Dean",665152,2025,170.1,93.3,2276,-7.6,18.1
"Leiter, Jack",683004,2025,144.2,97.2,2421,-8.7,17.4
"Liberatore, Matthew",669461,2025,151.2,93.9,2113,7.2,16.3
"Littell, Zack",641793,2025,182,92.1,2004,-7.3,16.1
"Lodolo, Nick",666157,2025,149.1,93.7,2291,17.2,9.3
"Lord, Brad",695418,2025,126.2,94.8,2329,-15.6,10.6
"Lorenzen, Michael",547179,2025,136,94,2341,-11.3,15.1
"Lugo, Seth",607625,2025,145.1,91.7,2350,-7.4,15.3
"Luzardo, Jesús",666200,2025,176.2,96.5,2238,12.1,14
"Márquez, Germán",608566,2025,122,94.9,2207,-9.7,14
"Martin, Davis",663436,2025,138.1,93.9,2408,-6.2,15
"Martinez, Nick",607259,2025,162.2,92.6,2316,-5.4,17.8
"May, Dustin",669160,2025,132.1,95.4,2344,-11.3,12.9
"Mikolas, Miles",571945,2025,151.1,92.9,2217,-8.4,14.9
"Mize, Casey",663554,2025,142.2,94.6,2249,-8.1,17.2
"Morton, Charlie",450203,2025,140.2,94.2,2324,-11.9,12.5
"Nelson, Ryne",669194,2025,148,95.7,2270,-3.2,19.2
"Ober, Bailey",641927,2025,140.1,90.3,2288,-8.1,16.9
"Paddack, Chris",663978,2025,153.2,93.7,2242,-8.8,18.1
"Pallante, Andre",669467,2025,162.2,94.5,2303,-0.3,10.1
"Parker, Mitchell",680730,2025,162,92.9,2168,5.8,18
"Patrick, Chad",694477,2025,115.2,94.2,2331,-7.1,16.6
"Pepiot, Ryan",686752,2025,167.2,95.2,2413,-7.8,19.1
"Peralta, Freddy",642547,2025,174.2,94.8,2440,-4.6,16.8
"Peterson, David",656849,2025,168.2,92.2,2132,4.7,13.5
"Pfaadt, Brandon",694297,2025,172.2,93.6,2568,-6,15.5
"Pivetta, Nick",601713,2025,181.2,93.8,2323,-2.5,19.7
"Priester, Quinn",682990,2025,152.1,0,0,0,0
"Quantrill, Cal",615698,2025,117.2,93.6,2137,-10.2,16.5
"Quintana, Jose",500779,2025,131.2,90.4,2095,4.5,16
"Rasmussen, Drew",656876,2025,147.2,95.8,2481,-4.1,17.3
"Ray, Robbie",592662,2025,182.1,93.6,2360,8.2,18.2
"Rea, Colin",607067,2025,153.2,93.8,2195,-8.5,14
"Rodón, Carlos",607074,2025,189.1,94.2,2347,10.8,17.6
"Rodriguez, Eduardo",593958,2025,148.1,92,2305,5.6,14.9
"Ryan, Joe",657746,2025,166,93.6,2290,-12.6,13.6
"Sánchez, Cristopher",650911,2025,196.1,0,0,0,0
"Sears, JP",676664,2025,130,92.2,2020,12,14.1
"Senzatela, Antonio",622608,2025,126.1,94.9,2226,-4.5,11.5
"Severino, Luis",622663,2025,156.1,96.1,2282,-7,16.3
"Singer, Brady",663903,2025,166.1,91.3,2442,-6.3,14.5
"Skenes, Paul",694973,2025,181.2,98.2,2256,-14.1,11.5
"Skubal, Tarik",669373,2025,195.1,97.6,2354,3.5,17
"Smith, Shane",681343,2025,140.1,95.6,2277,-7.2,14.1
"Soriano, José",667755,2025,169,97.9,2225,-8.5,13.3
"Springs, Jeffrey",605488,2025,171,90.7,2171,11.3,16
"Strider, Spencer",675911,2025,119.1,95.5,2300,-8.8,16.4
"Suárez, Ranger",624133,2025,153,91.3,1954,6.1,11.6
"Sugano, Tomoyuki",608372,2025,152.2,92.7,2390,-5.7,16.7
"Taillon, Jameson",592791,2025,123.2,92.3,2321,-7.4,18.2
"Valdez, Framber",664285,2025,185,93.7,2270,6.9,8.3
"Vásquez, Randy",681190,2025,132.2,93.4,2378,-8.9,15.6
"Verlander, Justin",434378,2025,146,93.9,2431,-8.9,18.6
"Wacha, Michael",608379,2025,166.2,93.1,2152,-6.6,18
"Walker, Taijuan",592836,2025,120.2,92.1,2126,-9.1,17.1
"Warren, Will",701542,2025,157.1,93.3,2572,-7.9,15.4
"Webb, Logan",657277,2025,201.2,92.7,2115,-9,10.7
"Wheeler, Zack",554430,2025,149.2,96.1,2470,-10.1,14.7
"Williams, Gavin",668909,2025,167.2,96.6,2304,-10.9,15.2
"Woo, Bryan",693433,2025,186.2,95.7,2296,-9.7,14.9
"Yamamoto, Yoshinobu",808967,2025,167.2,95.4,2200,-7,16