"last_name, first_name",player_id,fb_stuff,year
"Bradley, Taj",671737,110,2025
"Patrick, Chad",694477,107,2025
"Houser, Adrian",605288,80,2025
"Leiter, Jack",683004,113,2025
"Quantrill, Cal",615698,82,2025
"Skubal, Tarik",669373,104,2025
"Ober, Bailey",641927,94,2025
"Crochet, Garrett",676979,110,2025
"Rodón, Carlos",607074,106,2025
"Liberatore, Matthew",669461,85,2025
"Rasmussen, Drew",656876,112,2025
"Quintana, Jose",500779,89,2025
"Flaherty, Jack",656427,100,2025
"Brown, Hunter",686613,107,2025
"Gallen, Zac",668678,102,2025
"Pivetta, Nick",601713,101,2025
"Giolito, Lucas",608337,83,2025
"Peterson, David",656849,81,2025
"Morton, Charlie",450203,83,2025
"Gray, Sonny",543243,87,2025
"Warren, Will",701542,98,2025
"Hendricks, Kyle",543294,76,2025
"Buehler, Walker",621111,96,2025
"Priester, Quinn",682990,0,2025
"Mikolas, Miles",571945,79,2025
"Sears, JP",676664,79,2025
"Allen, Logan",671106,94,2025
"deGrom, Jacob",594798,105,2025
"Webb, Logan",657277,103,2025
"Littell, Zack",641793,79,2025
"Peralta, Freddy",642547,108,2025
"Keller, Mitch",656605,87,2025
"Walker, Taijuan",592836,90,2025
"Senga, Kodai",673540,93,2025
"Baz, Shane",669358,100,2025
"Eovaldi, Nathan",543135,94,2025
"Suárez, Ranger",624133,84,2025
"May, Dustin",669160,99,2025
"Boyd, Matthew",571510,86,2025
"Kochanowicz, Jack",686799,86,2025
"Sugano, Tomoyuki",608372,97,2025
"Martinez, Nick",607259,86,2025
"Bassitt, Chris",605135,83,2025
"Pepiot, Ryan",686752,112,2025
"Freeland, Kyle",607536,91,2025
"Corbin, Patrick",571578,85,2025
"Cecconi, Slade",677944,87,2025
"Sánchez, Cristopher",650911,0,2025
"Gausman, Kevin",592332,98,2025
"Kirby, George",669923,89,2025
"Wheeler, Zack",554430,109,2025
"Cameron, Noah",702070,82,2025
"Bibee, Tanner",676440,84,2025
"Kremer, Dean",665152,98,2025
"Williams, Gavin",668909,100,2025
"Burke, Sean",680732,102,2025
"Holmes, Clay",605280,73,2025
"Alcantara, Sandy",645261,103,2025
"Anderson, Tyler",542881,94,2025
"Lord, Brad",695418,79,2025
"Heaney, Andrew",571760,96,2025
"Gore, MacKenzie",669022,101,2025
"Martin, Davis",663436,93,2025
"Castillo, Luis",622491,92,2025
"Yamamoto, Yoshinobu",808967,95,2025
"Abbott, Andrew",671096,94,2025
"Parker, Mitchell",680730,88,2025
"Fried, Max",608331,107,2025
"Lodolo, Nick",666157,101,2025
"Ray, Robbie",592662,106,2025
"Rodriguez, Eduardo",593958,90,2025
"Nelson, Ryne",669194,115,2025
"Woo, Bryan",693433,105,2025
"Holmes, Grant",656550,84,2025
"Pfaadt, Brandon",694297,102,2025
"Wacha, Michael",608379,86,2025
"Valdez, Framber",664285,82,2025
"Márquez, Germán",608566,72,2025
"Lorenzen, Michael",547179,86,2025
"Soriano, José",667755,83,2025
"Singer, Brady",663903,92,2025
"Smith, Shane",681343,92,2025
"Springs, Jeffrey",605488,90,2025
"Severino, Luis",622663,107,2025
"Lugo, Seth",607625,91,2025
"Mize, Casey",663554,96,2025
"Strider, Spencer",675911,91,2025
"Vásquez, Randy",681190,89,2025
"Kelly, Merrill",518876,95,2025
"Luzardo, Jesús",666200,86,2025
"Senzatela, Antonio",622608,76,2025
"Cabrera, Edward",665795,94,2025
"Berríos, José",621244,86,2025
"Elder, Bryce",693821,69,2025
"Ryan, Joe",657746,107,2025
"Fedde, Erick",607200,0,2025
"Gilbert, Logan",669302,88,2025
"Kikuchi, Yusei",579328,98,2025
"Bello, Brayan",678394,89,2025
"Verlander, Justin",434378,93,2025
"Irvin, Jake",663623,95,2025
"Skenes, Paul",694973,97,2025
"Rea, Colin",607067,86,2025
"Falter, Bailey",663559,102,2025
"Pallante, Andre",669467,92,2025
"Paddack, Chris",663978,95,2025
"Imanaga, Shota",684007,103,2025
"Cease, Dylan",656302,104,2025